name,tag_type,source
Anandapuram,place:neighbourhood,osm
Belure Ambedkar Nagar,place:neighbourhood,osm
Kaverappa Layout,place:neighbourhood,osm
Belur Nagasandra,place:neighbourhood,osm
Challaghatta,place:neighbourhood,osm
Kariyammana Agrahara,place:neighbourhood,osm
ITC Colony,place:neighbourhood,osm
MSO Colony,place:neighbourhood,osm
Kirloskar Layout,place:neighbourhood,osm
Nagegowdanapalya,place:neighbourhood,osm
Gattigerepalya,place:neighbourhood,osm
Ganakkal,place:quarter,osm
Chikkegowdanpalya,place:neighbourhood,osm
Sompura,place:village,osm
Gajendra Nagara,place:neighbourhood,osm
Hulimavu,place:quarter,osm
MES Colony,place:neighbourhood,osm
Gandhi Nagar,place:neighbourhood,osm
Atturu,place:quarter,osm
Singapura,place:quarter,osm
Babasaheb Colony,place:neighbourhood,osm
Gitanjali Layout,place:neighbourhood,osm
Ganigarpet,place:neighbourhood,osm
Mamulpete,place:neighbourhood,osm
Kothnur,place:suburb,osm
Krishna Nagar,place:neighbourhood,osm
Maistripalaya,place:neighbourhood,osm
Jothinagar,place:neighbourhood,osm
"AECS Layout, A block",place:neighbourhood,osm
Abshot Layout,place:neighbourhood,osm
Gurappana Palya,place:neighbourhood,osm
Byadarahalli,place:neighbourhood,osm
Herohalli,place:suburb,osm
Hutting Colony,place:neighbourhood,osm
HBR Layout 5th Block,place:quarter,osm
HBR Layout,place:suburb,osm
Akshaya Nagar,place:neighbourhood,osm
Someshwarapura,place:neighbourhood,osm
Corporation Colony,place:neighbourhood,osm
Sivanchetti Gardens,place:neighbourhood,osm
Munekolala,place:quarter,osm
Chokkanahalli,place:neighbourhood,osm
Keshavaraj Layout,place:neighbourhood,osm
Officers Colony,place:neighbourhood,osm
Yellagondanpalya,place:neighbourhood,osm
Victoria Layout,place:quarter,osm
Xavier Layout,place:neighbourhood,osm
Yelachenahalli,place:neighbourhood,osm
Gottigere,place:suburb,osm
Justice Bheemiah Layout,place:neighbourhood,osm
Richmond Town,place:suburb,osm
Gavipuram,place:neighbourhood,osm
Concept City,place:neighbourhood,osm
Sudhama Nagar,place:neighbourhood,osm
Shivalingaiah Colony,place:neighbourhood,osm
HAL Township,place:neighbourhood,osm
Krishna Reddy Colony,place:neighbourhood,osm
Indiranagar 3rd Stage,place:neighbourhood,osm
New Baiyyappanahalli Extension,place:neighbourhood,osm
Sadananda Nagar,place:neighbourhood,osm
Ramaswamy Layout,place:neighbourhood,osm
Koramangala 7th Block,place:neighbourhood,osm
Ashwath Nagar,place:quarter,osm
Jayaraj Nagar,place:neighbourhood,osm
Dodakattappa,place:neighbourhood,osm
Hoysala Nagar,place:neighbourhood,osm
Someshwarpura,place:neighbourhood,osm
Hanumanthappa Layout,place:neighbourhood,osm
Yellappa Chetty Layout,place:neighbourhood,osm
Karishma Hills,place:neighbourhood,osm
Ambalipura,place:neighbourhood,osm
ITI Industrial Estate,place:neighbourhood,osm
Devasandra Industrial Estate,place:neighbourhood,osm
Kalahalli,place:neighbourhood,osm
Bhadrappa Layout,place:neighbourhood,osm
Papanna Layout,place:neighbourhood,osm
Vishweshwaraiah Enclave,place:neighbourhood,osm
Abbigere,place:quarter,osm
Kammanahalli,place:suburb,osm
EPIP Zone,place:suburb,osm
Anandapura,place:neighbourhood,osm
Govindapura,place:neighbourhood,osm
BCC Layout,place:locality,osm
Panduranga Nagar,place:neighbourhood,osm
Arekere,place:quarter,osm
Shivapura,place:neighbourhood,osm
Mallathahalli,place:quarter,osm
PF Layout,place:neighbourhood,osm
Meghanapalya,place:neighbourhood,osm
K Narayanapura,place:quarter,osm
Grace Town,place:neighbourhood,osm
West of Chord Road 2nd Stage,place:neighbourhood,osm
Mahalakshmipuram,place:quarter,osm
Attur Layout,place:neighbourhood,osm
Konanakunte,place:suburb,osm
Mahalakshmi Layout,place:suburb,osm
Basaveshwaranagar,place:suburb,osm
Shirdi Sai Nagara,place:neighbourhood,osm
NTY Layout,place:neighbourhood,osm
Kengeri Satelite Town,place:neighbourhood,osm
Sir MV Layout,place:suburb,osm
Sonnenahalli,place:quarter,osm
Bhuvaneshwari Nagara 2nd Stage,place:neighbourhood,osm
Bhuvaneshwari Nagara 1st Stage,place:neighbourhood,osm
Rajajinagara 1st R Block,place:neighbourhood,osm
Anepalya,place:neighbourhood,osm
Craig Park Layout,place:neighbourhood,osm
Jakkur Layout,place:neighbourhood,osm
Amrutahalli,place:quarter,osm
Rachenahalli,place:neighbourhood,osm
Buvaneswari Nagara,place:neighbourhood,osm
Amruthnagar,place:neighbourhood,osm
Kempapura,place:quarter,osm
Fair Field Layout,place:neighbourhood,osm
